Datetime,IS20-MS-01 -  Irradiation - Horizontal Pyranometer(W/m2),IS20-MS-01 -  Irradiation - Tilted Pyranometer (W/m2)
2023-08-13 00:00:00,0,0
2023-08-13 00:05:00,0,0
2023-08-13 00:10:00,0,0
2023-08-13 00:15:00,0,0
2023-08-13 00:20:00,0,0
2023-08-13 00:25:00,0,0
2023-08-13 00:30:00,0,0
2023-08-13 00:35:00,0.4,0.2
2023-08-13 00:40:00,0.2,0.2
2023-08-13 00:45:00,0,0.4
2023-08-13 00:50:00,0,0
2023-08-13 00:55:00,0,0
2023-08-13 01:00:00,0,0
2023-08-13 01:05:00,0,0
2023-08-13 01:10:00,0,0
2023-08-13 01:15:00,0,0
2023-08-13 01:20:00,0,0
2023-08-13 01:25:00,0,0
2023-08-13 01:30:00,0,0
2023-08-13 01:35:00,0,0
2023-08-13 01:40:00,0,0
2023-08-13 01:45:00,0,0
2023-08-13 01:50:00,0,0
2023-08-13 01:55:00,0,0
2023-08-13 02:00:00,0,0
2023-08-13 02:05:00,0,0
2023-08-13 02:10:00,0,0
2023-08-13 02:15:00,0,0
2023-08-13 02:20:00,0,0
2023-08-13 02:25:00,0,0
2023-08-13 02:30:00,0,0
2023-08-13 02:35:00,0,0
2023-08-13 02:40:00,0,0
2023-08-13 02:45:00,0,0
2023-08-13 02:50:00,0,0
2023-08-13 02:55:00,0,0
2023-08-13 03:00:00,0,0
2023-08-13 03:05:00,0,0
2023-08-13 03:10:00,0,0
2023-08-13 03:15:00,0,0
2023-08-13 03:20:00,0,0
2023-08-13 03:25:00,0,0
2023-08-13 03:30:00,0,0
2023-08-13 03:35:00,0,0
2023-08-13 03:40:00,0,0
2023-08-13 03:45:00,0,0
2023-08-13 03:50:00,0,0
2023-08-13 03:55:00,0,0
2023-08-13 04:00:00,0,0
2023-08-13 04:05:00,0,0
2023-08-13 04:10:00,0,0
2023-08-13 04:15:00,0,0
2023-08-13 04:20:00,0,0
2023-08-13 04:25:00,0,0
2023-08-13 04:30:00,0,0
2023-08-13 04:35:00,0,0
2023-08-13 04:40:00,0,0
2023-08-13 04:45:00,0,0
2023-08-13 04:50:00,0,0
2023-08-13 04:55:00,0,0
2023-08-13 05:00:00,0,0
2023-08-13 05:05:00,0,0
2023-08-13 05:10:00,0,0
2023-08-13 05:15:00,0,0
2023-08-13 05:20:00,0,0
2023-08-13 05:25:00,0,0
2023-08-13 05:30:00,0,0
2023-08-13 05:35:00,0,0
2023-08-13 05:40:00,0,0
2023-08-13 05:45:00,0,0
2023-08-13 05:50:00,0,0
2023-08-13 05:55:00,0,0
2023-08-13 06:00:00,0,0
2023-08-13 06:05:00,0,0
2023-08-13 06:10:00,0,0.4
2023-08-13 06:15:00,1,1.6
2023-08-13 06:20:00,2.6,2.8
2023-08-13 06:25:00,5.2,5.4
2023-08-13 06:30:00,11.2,10.8
2023-08-13 06:35:00,27.4,25.4
2023-08-13 06:40:00,43.4,43.6
2023-08-13 06:45:00,62.6,70.4
2023-08-13 06:50:00,80.2,95.4
2023-08-13 06:55:00,96.2,110.8
2023-08-13 07:00:00,114.8,145.6
2023-08-13 07:05:00,135.6,180.6
2023-08-13 07:10:00,160,210.6
2023-08-13 07:15:00,175.4,233.8
2023-08-13 07:20:00,201.6,276
2023-08-13 07:25:00,222.2,316.6
2023-08-13 07:30:00,238.2,358
2023-08-13 07:35:00,257,403.2
2023-08-13 07:40:00,274.2,444.8
2023-08-13 07:45:00,291,473.4
2023-08-13 07:50:00,309.2,503.4
2023-08-13 07:55:00,327.8,576.4
2023-08-13 08:00:00,344.6,617
2023-08-13 08:05:00,362.2,655.8
2023-08-13 08:10:00,380.4,706.6
2023-08-13 08:15:00,402.8,770
2023-08-13 08:20:00,421.2,829
2023-08-13 08:25:00,441.4,839.4
2023-08-13 08:30:00,465.6,866.2
2023-08-13 08:35:00,483.4,878.6
2023-08-13 08:40:00,500.6,912.2
2023-08-13 08:45:00,522.4,910.8
2023-08-13 08:50:00,548.6,902
2023-08-13 08:55:00,567.8,870
2023-08-13 09:00:00,587.2,784.4
2023-08-13 09:05:00,605.4,969.6
2023-08-13 09:10:00,628.6,987.8
2023-08-13 09:15:00,643.6,1000.2
2023-08-13 09:20:00,661.2,1038.8
2023-08-13 09:25:00,678.8,1034.6
2023-08-13 09:30:00,693,895.2
2023-08-13 09:35:00,717,1027.6
2023-08-13 09:40:00,725,1022.4
2023-08-13 09:45:00,749.6,1038.4
2023-08-13 09:50:00,752.8,1028.8
2023-08-13 09:55:00,772.2,1040.2
2023-08-13 10:00:00,791.2,1049
2023-08-13 10:05:00,809.6,1055.2
2023-08-13 10:10:00,825.6,1059.4
2023-08-13 10:15:00,823.8,1043.2
2023-08-13 10:20:00,847.2,1056.8
2023-08-13 10:25:00,861.6,1067.4
2023-08-13 10:30:00,878.6,1071.8
2023-08-13 10:35:00,891,1070.8
2023-08-13 10:40:00,905.2,1070.4
2023-08-13 10:45:00,917,1068.8
2023-08-13 10:50:00,929,1072.4
2023-08-13 10:55:00,942.6,1076.2
2023-08-13 11:00:00,952,1070.4
2023-08-13 11:05:00,965,1068.4
2023-08-13 11:10:00,979,1074
2023-08-13 11:15:00,983.2,1067.2
2023-08-13 11:20:00,986.8,1065.6
2023-08-13 11:25:00,1003.6,1077.6
2023-08-13 11:30:00,1007,1071
2023-08-13 11:35:00,1019.6,1074.6
2023-08-13 11:40:00,1028.4,1076.2
2023-08-13 11:45:00,1026.8,1068.4
2023-08-13 11:50:00,1040.8,1078.4
2023-08-13 11:55:00,1043.4,1072.2
2023-08-13 12:00:00,1055.6,1081
2023-08-13 12:05:00,1060,1079.2
2023-08-13 12:10:00,1055.2,1068.8
2023-08-13 12:15:00,1055.4,1065.8
2023-08-13 12:20:00,1067.6,1074
2023-08-13 12:25:00,1069,1072
2023-08-13 12:30:00,1068.2,1069
2023-08-13 12:35:00,1074.2,1073.2
2023-08-13 12:40:00,1070.8,1070.6
2023-08-13 12:45:00,1090.8,1087.2
2023-08-13 12:50:00,1092,1094.8
2023-08-13 12:55:00,1097,1095.8
2023-08-13 13:00:00,1092,1090.6
2023-08-13 13:05:00,1111.8,1108
2023-08-13 13:10:00,1131,1131.4
2023-08-13 13:15:00,1123.4,1116
2023-08-13 13:20:00,1152.6,1160
2023-08-13 13:25:00,1093,1102.8
2023-08-13 13:30:00,946.8,943.2
2023-08-13 13:35:00,627.6,629.8
2023-08-13 13:40:00,249,245.4
2023-08-13 13:45:00,277,288.8
2023-08-13 13:50:00,1146.6,1181.2
2023-08-13 13:55:00,946.2,970.8
2023-08-13 14:00:00,1124.8,1172.8
2023-08-13 14:05:00,1146.4,1192.6
2023-08-13 14:10:00,925,958
2023-08-13 14:15:00,732.6,803
2023-08-13 14:20:00,1084,1162
2023-08-13 14:25:00,648.4,702.6
2023-08-13 14:30:00,313.6,342.2
2023-08-13 14:35:00,880,968.4
2023-08-13 14:40:00,780.6,856.6
2023-08-13 14:45:00,897.6,996.2
2023-08-13 14:50:00,887.6,968.2
2023-08-13 14:55:00,743.6,827.8
2023-08-13 15:00:00,887.6,1034.4
2023-08-13 15:05:00,518.2,608.2
2023-08-13 15:10:00,730.6,893.4
2023-08-13 15:15:00,808,976.8
2023-08-13 15:20:00,771.8,948.6
2023-08-13 15:25:00,740.6,932.4
2023-08-13 15:30:00,765.8,969.8
2023-08-13 15:35:00,874.4,1110.4
2023-08-13 15:40:00,873.8,1127.2
2023-08-13 15:45:00,852.6,1119.2
2023-08-13 15:50:00,420,553.6
2023-08-13 15:55:00,96.6,125.2
2023-08-13 16:00:00,615.4,865.2
2023-08-13 16:05:00,733,1047.6
2023-08-13 16:10:00,710.8,1028
2023-08-13 16:15:00,588.2,871.8
2023-08-13 16:20:00,542.8,805.2
2023-08-13 16:25:00,654,1005.2
2023-08-13 16:30:00,631.8,971
2023-08-13 16:35:00,611.4,975.4
2023-08-13 16:40:00,589.2,953.6
2023-08-13 16:45:00,572,953.8
2023-08-13 16:50:00,549.4,932.8
2023-08-13 16:55:00,530.6,920.2
2023-08-13 17:00:00,510,904.8
2023-08-13 17:05:00,491,891.6
2023-08-13 17:10:00,474,881.2
2023-08-13 17:15:00,451,927.2
2023-08-13 17:20:00,430.8,931.8
2023-08-13 17:25:00,409.4,915.8
2023-08-13 17:30:00,386.2,895.2
2023-08-13 17:35:00,365.4,868
2023-08-13 17:40:00,343.6,843.8
2023-08-13 17:45:00,326.6,840.8
2023-08-13 17:50:00,312.2,798.4
2023-08-13 17:55:00,300.4,760.4
